Primary ID,Address,Common Nam,Latin Name,DBH,Longitude,Latitude
"194312",116 Dorton Street,Callery pear,Pyrus calleryana,"17",-80.788907072190000,35.257455318330997
"194302",4554 North Tryon Street,Callery pear,Pyrus calleryana,"23",-80.788890382912001,35.257686201761999
"194301",4554 North Tryon Street,Callery pear,Pyrus calleryana,"6",-80.788893105976996,35.257832494759000
"194222",4717 Americana Avenue,Callery pear,Pyrus calleryana,"2",-80.773887862164997,35.251179076189999
"194128",1121 Glenfiddich Drive,Callery pear,Pyrus calleryana,"12",-80.769477635608396,35.249663182147501
"194127",1121 Glenfiddich Drive,Callery pear,Pyrus calleryana,"14",-80.769465565667829,35.249624859331156
"194123",1121 Glenfiddich Drive,Callery pear,Pyrus calleryana,"12",-80.769450366387900,35.249499153931190
"194122",1121 Glenfiddich Drive,Callery pear,Pyrus calleryana,"16",-80.769439637551841,35.249436742351875
"194073",4900 Banfshire Road,Callery pear,Pyrus calleryana,"14",-80.769777223521274,35.255831977164334
"194050",5007 Curtiswood Drive,Callery pear,Pyrus calleryana,"21",-80.782222077255028,35.255912739896672
"194047",5007 Curtiswood Drive,Callery pear,Pyrus calleryana,"25",-80.782104358070242,35.255930563751214
"194034",7108 Meadowland Drive,Callery pear,Pyrus calleryana,"24",-80.737780779550121,35.262849430738235
"194018",7108 Meadowland Drive,Callery pear,Pyrus calleryana,"19",-80.737756791836006,35.262798272097001
"193871",438 Eastway Drive,Callery pear,Pyrus calleryana,"19",-80.780213028235721,35.252517297776961
"193824",2314 Saint Johns Church Road,Callery pear,Pyrus calleryana,"22",-80.736448690285002,35.259649482992550
"193823",2314 Saint Johns Church Road,Callery pear,Pyrus calleryana,"21",-80.736656561493888,35.259642732334221
"193625",622 Norwell Place,Callery pear,Pyrus calleryana,"32",-80.793535042057002,35.249184831119003
"193595",3735 Atmore Street,Callery pear,Pyrus calleryana,"26",-80.793934663382004,35.248208250665002
